id,column,annotation,noise_type
7288363457341164801.mp4_scene_5,shot_scale_vlm_1b_08,WS (Wide Shot),Invalid label
7288363457341164801.mp4_scene_5,shot_scale_vlm_1b_09_tuple,"('Medium Shot', 'The subject is framed from the waist up and occupies most of the frame, with the background showing the damaged building and debris, indicating a medium shot scale.')",Invalid label
7288363457341164801.mp4_scene_5,shot_scale_vlm_1c_10_filler,"The shot scale of this still image is 'Medium shot'. The subject (a person) is framed from the waist up, and the background is visible but not as prominent as in a wide shot.",Invalid label
7288363457341164801.mp4_scene_6,shot_scale_vlm_1c_10_filler,"The shot scale of this still image is ""Close up"".",Invalid label
7288363457341164801.mp4_scene_7,shot_scale_vlm_1c_10_filler,"The shot scale of this still image is ""Medium close up"". The subject (a person in military uniform) takes up most of the frame from head to shoulders, with some background visible.",Invalid label
7422934013553216775.mp4_scene_1,shot_scale_vlm_1c_10_filler,"The shot scale of this still image is a ""Close up"". The subject, a person in military uniform, occupies most of the frame from head to shoulders.",Invalid label
7422934013553216775.mp4_scene_2,shot_scale_vlm_1c_08,Medium shot.,Invalid label
7422934013553216775.mp4_scene_2,shot_scale_vlm_1c_10_filler,"The shot scale of this still image is a ""Medium shot"". The subject, a person in military uniform, is framed from the waist up and takes up most of the frame. The background includes some elements of the environment but is not the main focus.",Invalid label
7422934013553216775.mp4_scene_3,shot_scale_vlm_1c_07,Medium shot.,Invalid label
7422934013553216775.mp4_scene_3,shot_scale_vlm_1c_10_filler,"The shot scale of this still image is a ""Medium shot"". The subject, a person in military uniform, is framed from the waist up and takes up most of the frame.",Invalid label
7422934013553216775.mp4_scene_5,shot_scale_vlm_1b_07,WS (Wide Shot),Invalid label
7422934013553216775.mp4_scene_5,shot_scale_vlm_1b_10_filler,"The shot scale in this image is a Medium Shot (MS). The subject, which appears to be a person, is framed from the waist up and occupies a significant portion of the frame. The background includes elements of the environment but does not dominate the scene.",Invalid label
7422934013553216775.mp4_scene_5,shot_scale_vlm_1c_10_filler,"The shot scale of this still image is 'Medium shot'. The subject (a person) is framed from the waist up, and the background is visible but not as prominent as in a wide shot.",Invalid label
7422934013553216775.mp4_scene_6,shot_scale_vlm_1c_10_filler,"The shot scale of this still image is a ""Medium shot"". The subject (a person in military uniform) is framed from the waist up, and the background is visible but not as prominent as the subject.",Invalid label
7422934013553216775.mp4_scene_7,shot_scale_vlm_1c_10_filler,"The shot scale of this still image is a ""Medium shot"". The subject, a person in military uniform, is framed from the waist up and takes up most of the frame. The background includes some elements of the setting but does not dominate the scene.",Invalid label
7422934013553216775.mp4_scene_8,shot_scale_vlm_1c_10_filler,"The shot scale of this still image is a ""Medium shot"". The subject, a person in military uniform, is framed from the waist up and takes up most of the frame. The background includes some elements of their surroundings but is not the main focus.",Invalid label
7422934013553216775.mp4_scene_9,shot_scale_vlm_1c_10_filler,"The shot scale of this still image is ""Medium shot"". The subject, a person in military uniform, is framed from the waist up and takes up most of the frame.",Invalid label
7422934013553216775.mp4_scene_10,shot_scale_vlm_1c_07,Medium shot.,Invalid label
7422934013553216775.mp4_scene_10,shot_scale_vlm_1c_10_filler,"The shot scale of this still image is a ""Close up"". The subject, a person in military uniform, occupies most of the frame from head to shoulders.",Invalid label
7422680433990569234.mp4_scene_1,shot_scale_vlm_1c_07,Medium shot.,Invalid label
7422680433990569234.mp4_scene_1,shot_scale_vlm_1c_10_filler,"The shot scale of this still image is a ""Medium shot"". The subject, a person in military uniform, is framed from the waist up and takes up most of the frame. The background is visible but not as prominent as the subject.",Invalid label
7422680433990569234.mp4_scene_2,shot_scale_vlm_1c_10_filler,"The shot scale of this still image is a ""Medium shot"". The subject, a person sitting in a chair, is framed from the waist up and takes up most of the frame. The background includes some elements of the setting but does not dominate the scene.",Invalid label
7422680433990569234.mp4_scene_3,shot_scale_vlm_1c_10_filler,"The shot scale of this still image is a ""Close up"". The subject (a person) is framed from the head up to the shoulders and takes up most of the frame.",Invalid label
7422680433990569234.mp4_scene_4,shot_scale_vlm_1c_10_filler,"The shot scale of this still image is a ""Close up"". The subject, a person in military uniform, occupies most of the frame from head to shoulders.",Invalid label
7422680433990569234.mp4_scene_5,shot_scale_vlm_1c_06,Medium shot.,Invalid label
7422680433990569234.mp4_scene_5,shot_scale_vlm_1c_08,Medium shot.,Invalid label
7422680433990569234.mp4_scene_5,shot_scale_vlm_1c_10_filler,"The shot scale of this still image is a Close up. The subject, a man in a black shirt, occupies most of the frame from head to shoulders, with the background showing some elements but not dominating the scene.",Invalid label
7422680433990569234.mp4_scene_6,shot_scale_vlm_1c_10_filler,"The shot scale of this still image is ""Medium shot"". The subject, a person in military uniform, is framed from the waist up and takes up most of the frame.",Invalid label
7422680433990569234.mp4_scene_7,shot_scale_vlm_1c_10_filler,"The shot scale of this still image is a ""Medium shot"". The subject, a person sitting in a chair, is framed from the waist up and takes up most of the frame. The background includes some elements of the setting but is not the main focus.",Invalid label
7422680433990569234.mp4_scene_8,shot_scale_vlm_1c_10_filler,The shot scale of this still image is a Close up.,Invalid label
7422680433990569234.mp4_scene_9,shot_scale_vlm_1c_10_filler,"The shot scale of this still image is a ""Close up"". The subject, a person in military uniform, is framed from the head up to the shoulders and takes up most of the frame.",Invalid label
7422680433990569234.mp4_scene_10,shot_scale_vlm_1c_10_filler,"The shot scale of this still image is ""Close up"".",Invalid label
7422680433990569234.mp4_scene_11,shot_scale_vlm_1c_10_filler,"The shot scale of this still image is ""Medium shot"".",Invalid label
7422680433990569234.mp4_scene_12,shot_scale_vlm_1c_10_filler,The shot scale of this still image is a Close Up.,Invalid label
7422680433990569234.mp4_scene_13,shot_scale_vlm_1c_10_filler,"The shot scale of this still image is a ""Medium shot"". The subject, a person wearing a shirt with text and an image on it, is framed from the waist up. The background includes some elements of the setting but does not dominate the frame.",Invalid label
7422680433990569234.mp4_scene_14,shot_scale_vlm_1c_10_filler,The shot scale of this still image is a Close up.,Invalid label
7422680433990569234.mp4_scene_15,shot_scale_vlm_1c_10_filler,"The shot scale of this still image is 'Medium shot'. The subject (a person) is framed from the waist up, and they take up most of the frame.",Invalid label
7422680433990569234.mp4_scene_16,shot_scale_vlm_1c_10_filler,"The shot scale of this still image is a ""Close up"".",Invalid label
7422680433990569234.mp4_scene_17,shot_scale_vlm_1c_10_filler,"The shot scale of this still image is ""Close up"".",Invalid label
7422680433990569234.mp4_scene_18,shot_scale_vlm_1c_10_filler,The shot scale of this still image is a Close Up.,Invalid label
7422680433990569234.mp4_scene_19,shot_scale_vlm_1c_10_filler,"The shot scale of this still image is a ""Close up"".",Invalid label
7422680433990569234.mp4_scene_20,shot_scale_vlm_1c_10_filler,"The shot scale of this still image is a ""Close up"". The subject, a person holding a firearm and wearing military gear, occupies most of the frame from head to shoulders.",Invalid label
7422680433990569234.mp4_scene_21,shot_scale_vlm_1c_10_filler,"The shot scale of this still image is a ""Close up"". The subject, a person holding a firearm and wearing military gear, occupies most of the frame from head to shoulders.",Invalid label
7422680433990569234.mp4_scene_22,shot_scale_vlm_1c_10_filler,"The shot scale of this still image is ""Medium shot"". The subject, a person standing in an indoor setting, is framed from the waist up and takes up most of the frame.",Invalid label
7422680433990569234.mp4_scene_23,shot_scale_vlm_1c_10_filler,"The shot scale of this still image is ""Medium close up"". The subject (a person) is framed from the head up to the shoulders and takes up most of the frame.",Invalid label
7422617346390494471.mp4_scene_1,shot_scale_vlm_1c_07,Medium shot.,Invalid label
7422617346390494471.mp4_scene_1,shot_scale_vlm_1c_10_filler,The shot scale of this still image is a Close up.,Invalid label
7422617346390494471.mp4_scene_2,shot_scale_vlm_1c_09_tuple,"('Medium close up', 'The subject is framed from the head up and takes up most of the frame, with a focus on their face and upper body, indicating a close-up shot.)",Tuple format error
7422617346390494471.mp4_scene_2,shot_scale_vlm_1c_10_filler,"The shot scale of this still image is ""Medium close up"". The subject (a person in a hospital bed) takes up most of the frame from head to shoulders, with some background elements visible but not dominating.",Invalid label
7422617346390494471.mp4_scene_3,shot_scale_vlm_1c_06,Medium shot.,Invalid label
7422617346390494471.mp4_scene_4,shot_scale_vlm_1c_10_filler,"The shot scale of this still image is a Close Up. The subject, a person sitting outdoors, is framed from the head up to the shoulders and takes up most of the frame.",Invalid label
7422617346390494471.mp4_scene_5,shot_scale_vlm_1b_09_tuple,"('Empty', 'Motivation: The frame shows only the setting and environment with no discernible subject or focus, highlighting the surrounding vegetation and dilapidated building.)",Tuple format error
7422617346390494471.mp4_scene_5,shot_scale_vlm_1c_10_filler,The shot scale of this still image is 'Wide shot'.,Invalid label
7422617346390494471.mp4_scene_6,shot_scale_vlm_1c_06,Medium shot.,Invalid label
7422617346390494471.mp4_scene_6,shot_scale_vlm_1c_07,Medium shot.,Invalid label
7422617346390494471.mp4_scene_6,shot_scale_vlm_1c_08,Medium shot.,Invalid label
7422617346390494471.mp4_scene_6,shot_scale_vlm_1c_10_filler,"The shot scale of this still image is a ""Medium shot"". The subject, a woman sitting outdoors, is framed from the waist up and takes up most of the frame. The background is visible but not as prominent as in a wide shot.",Invalid label
7422617346390494471.mp4_scene_7,shot_scale_vlm_1c_10_filler,"The shot scale of this still image is a ""Medium shot"". The subject is framed from the waist up, showing them in full view while maintaining focus on their upper body and facial expressions.",Invalid label
7422617346390494471.mp4_scene_8,shot_scale_vlm_1b_10_filler,"The image contains a combination of different shot scales:

1. The top left image is an Empty shot, as it shows the setting with no discernible subject.
2. The bottom right image is a CU (Close-Up), focusing on the person's face and upper body.
3. The middle right image is a MS (Medium Shot), showing the person from the waist up.

Therefore, the overall shot scale of this image can be classified as a combination of Empty, CU, and MS.",Invalid label
7422617346390494471.mp4_scene_8,shot_scale_vlm_1c_10_filler,"The shot scale of this still image is ""Medium shot"".",Invalid label
7422617346390494471.mp4_scene_9,shot_scale_vlm_1c_10_filler,The shot scale of this still image is a Close up.,Invalid label
7422617346390494471.mp4_scene_10,shot_scale_vlm_1c_10_filler,"The shot scale of this still image is a ""Medium shot"". The subject, a person sitting on a chair outdoors, is framed from the waist up and takes up most of the frame. The background includes some elements of the environment but does not dominate the scene.",Invalid label
7422617346390494471.mp4_scene_11,shot_scale_vlm_1c_10_filler,"The shot scale of this still image is a ""Medium shot"". The subject, a person sitting outdoors, is framed from the waist up and takes up most of the frame.",Invalid label
7422617346390494471.mp4_scene_12,shot_scale_vlm_1c_07,Medium shot.,Invalid label
7422617346390494471.mp4_scene_12,shot_scale_vlm_1c_10_filler,"The shot scale of this still image is a ""Medium shot"". The subject, a person sitting on a chair outdoors, is framed from the waist up and takes up most of the frame.",Invalid label
7422617346390494471.mp4_scene_13,shot_scale_vlm_1c_10_filler,"The shot scale of this still image is a ""Medium shot"". The subject (a person) is framed from the waist up, and they take up most of the frame.",Invalid label
7422617346390494471.mp4_scene_14,shot_scale_vlm_1c_10_filler,"The shot scale of this still image is a ""Medium shot"". The subject, a person sitting outdoors, is framed from the waist up and takes up most of the frame.",Invalid label
7422617346390494471.mp4_scene_15,shot_scale_vlm_1b_06,MS (Medium Shot),Invalid label
7422617346390494471.mp4_scene_15,shot_scale_vlm_1b_07,MS (Medium Shot),Invalid label
7422617346390494471.mp4_scene_15,shot_scale_vlm_1b_10_filler,"The shot scale in this image is a Medium Shot (MS). The subject, who appears to be in a wheelchair and wearing boxing gloves, is framed from the waist up. The background includes another person standing in the distance, but they are not the main focus of the shot.",Invalid label
7422617346390494471.mp4_scene_15,shot_scale_vlm_1c_10_filler,"The shot scale of this still image is a Medium shot. The subject (the man in the wheelchair) is framed from the waist up, and the background includes other people and objects that are visible but not the main focus of the shot.",Invalid label
7422617346390494471.mp4_scene_16,shot_scale_vlm_1b_10_filler,"The shot scale in this image is a Medium Shot (MS). The subject, a person standing on a sidewalk, is framed from the waist up and occupies most of the frame. The background includes elements like trees and buildings, but they are not as prominent as the subject.",Invalid label
7422617346390494471.mp4_scene_16,shot_scale_vlm_1c_10_filler,"The shot scale of this still image is a Medium shot. The subject (a person) is framed from the waist up, and the background includes elements such as trees, buildings, and a car parked on the side of the road. This provides enough context to understand the setting while keeping the focus on the subject.",Invalid label
7422617346390494471.mp4_scene_17,shot_scale_vlm_1c_10_filler,"The shot scale of this still image is a Close Up. The subject, a person performing pull-ups on a bar, takes up most of the frame from head to shoulders and is the main focus of the image.",Invalid label
7421923208376405266.mp4_scene_1,shot_scale_vlm_1c_08,Medium shot.,Invalid label
7421923208376405266.mp4_scene_1,shot_scale_vlm_1c_09_tuple,"('Medium close up', 'The subject is framed from the head up and takes up most of the frame, with a clear focus on the person's face and upper body.)",Tuple format error
7421923208376405266.mp4_scene_1,shot_scale_vlm_1c_10_filler,"The shot scale of this still image is a ""Medium shot"". The subject, a person in military uniform, is framed from the waist up and takes up most of the frame. The background includes some landscape elements but they are not the main focus.",Invalid label
7421923208376405266.mp4_scene_2,shot_scale_vlm_1b_09_tuple,"('Medium Shot', 'The subject is framed from the waist up and takes up most of the frame, with the background showing the natural setting but not dominating the scene.')",Invalid label
7421923208376405266.mp4_scene_2,shot_scale_vlm_1c_10_filler,"The shot scale of this still image is a Medium shot. The subject (a soldier) is framed from the waist up, and the background includes some elements of the environment but does not dominate the frame.",Invalid label
7421923208376405266.mp4_scene_3,shot_scale_vlm_1c_07,Uncertain.,Invalid label
7421923208376405266.mp4_scene_3,shot_scale_vlm_1c_08,Uncertain.,Invalid label
7421923208376405266.mp4_scene_3,shot_scale_vlm_1c_09_tuple,"(Uncertain, 'Motivation') - The image appears to be very dark and blurry, making it difficult to discern any clear subject or focus. There are no visible subjects or background elements that can be identified with certainty.",Tuple format error
7421923208376405266.mp4_scene_3,shot_scale_vlm_1c_10_filler,The shot scale of this still image is 'Empty'.,Invalid label
7421923208376405266.mp4_scene_4,shot_scale_vlm_1c_10_filler,"The shot scale of this still image is a Medium shot. The subject (soldiers) is framed from the waist up, and the background is visible but not as prominent as in a wide shot.",Invalid label
7421923208376405266.mp4_scene_5,shot_scale_vlm_1c_07,Medium shot.,Invalid label
7421923208376405266.mp4_scene_5,shot_scale_vlm_1c_10_filler,"The shot scale of this still image is a ""Medium shot"". The subject (a person in military uniform) is framed from the waist up, and the background is visible but not as prominent as the subject.",Invalid label
7421923208376405266.mp4_scene_6,shot_scale_vlm_1b_09_tuple,"('Empty', 'Motivation: The frame shows a natural outdoor setting with rocks and leaves, but there is no discernible subject or focus within this shot.)",Tuple format error
7421923208376405266.mp4_scene_6,shot_scale_vlm_1c_09_tuple,"(Uncertain, Motivation: The image appears to be focused on a rusted metal object and some natural surroundings, but it's not clear if there is a discernible subject or focus within the frame.)",Tuple format error
7421923208376405266.mp4_scene_6,shot_scale_vlm_1c_10_filler,"The shot scale of this still image is 'Medium shot'. The subject (the rusted metal object) is framed from the waist up, and it takes up most of the frame. The background includes some natural elements like rocks and leaves, but they are not as prominent as the subject.",Invalid label
7421923208376405266.mp4_scene_7,shot_scale_vlm_1c_10_filler,"The shot scale of this still image is a ""Medium shot"". The subject, a person in military uniform, is framed from the waist up and takes up most of the frame. The background includes some landscape elements but they are not the main focus.",Invalid label
7421923208376405266.mp4_scene_8,shot_scale_vlm_1a_09_tuple,"('Wide shot', 'The subject (the weapons) takes up a significant portion of the frame with the background showing the setting and environment, but not dominating it as much as in a full shot.)",Tuple format error
7421923208376405266.mp4_scene_8,shot_scale_vlm_1b_09_tuple,"('Medium Shot', 'The subject is framed from the waist up and includes various firearms on a table, with the background showing part of the room but not dominating the scene.')",Invalid label
7421923208376405266.mp4_scene_8,shot_scale_vlm_1c_10_filler,"The shot scale of this still image is 'Medium full shot'. The subject, which includes a collection of firearms and equipment, is framed from the knees up, with the background showing some details but not dominating the scene.",Invalid label
7421923208376405266.mp4_scene_9,shot_scale_vlm_1c_09_tuple,"(Uncertain, 'Motivation') - The image appears to be an aerial view of a landscape with text overlaid on it. It does not show any discernible subject or focus within the frame, making it difficult to classify as one of the shot scales provided.",Tuple format error
7421923208376405266.mp4_scene_9,shot_scale_vlm_1c_10_filler,The shot scale of this still image is 'Wide shot'.,Invalid label
7421923208376405266.mp4_scene_10,shot_scale_vlm_1c_10_filler,The shot scale of this still image is 'Wide shot'.,Invalid label
7421923208376405266.mp4_scene_11,shot_scale_vlm_1b_06,WS (Wide Shot),Invalid label
7421923208376405266.mp4_scene_11,shot_scale_vlm_1b_07,WS (Wide Shot),Invalid label
7421923208376405266.mp4_scene_11,shot_scale_vlm_1b_08,WS (Wide Shot),Invalid label
7421923208376405266.mp4_scene_11,shot_scale_vlm_1c_10_filler,The shot scale of this still image is 'Wide shot'.,Invalid label
7421923208376405266.mp4_scene_12,shot_scale_vlm_1c_10_filler,"The shot scale of this still image is a ""Medium shot"". The subject, a person in military uniform, is framed from the waist up and takes up most of the frame.",Invalid label
7417541679802060050.mp4_scene_1,shot_scale_vlm_1c_10_filler,"The shot scale of this still image is a ""Close up"". The subject (a person in military uniform) takes up most of the frame from head to shoulders, with minimal background detail.",Invalid label
7417541679802060050.mp4_scene_2,shot_scale_vlm_1c_09_tuple,"(Uncertain, Motivation: The image shows a landscape with houses and hills, but it is unclear if there is a discernible subject or focus within the frame. The text overlay suggests a context that might be relevant to the video content, but does not provide enough visual information to classify the shot scale.)",Tuple format error
7417541679802060050.mp4_scene_2,shot_scale_vlm_1c_10_filler,"The shot scale of this still image is ""Wide shot"".",Invalid label
7417541679802060050.mp4_scene_3,shot_scale_vlm_1c_10_filler,"The shot scale of this still image is a ""Medium shot"". The subject (the airplane) is framed from the waist up, and it takes up most of the frame.",Invalid label
7417541679802060050.mp4_scene_4,shot_scale_vlm_1b_06,WS (Wide Shot),Invalid label
7417541679802060050.mp4_scene_4,shot_scale_vlm_1b_07,WS (Wide Shot),Invalid label
7417541679802060050.mp4_scene_4,shot_scale_vlm_1b_08,WS (Wide Shot),Invalid label
7417541679802060050.mp4_scene_4,shot_scale_vlm_1c_09_tuple,"('Medium full shot', 'The subject is framed from the knees up and occupies most of the frame, with the background showing a landscape and buildings.)",Tuple format error
7417541679802060050.mp4_scene_4,shot_scale_vlm_1c_10_filler,"The shot scale of this still image is 'Medium shot'. The subject (the building) is framed from the waist up, and the background is visible but not as prominent as in a wide shot.",Invalid label
