id,url,from_dataset,start_frame,start_time,start_fps,end_frame,end_time,end_fps,scene_num,num_scenes_detected,total_video_frames,total_video_duration,face_locations_list,face_count,face_list,gender_list,m_count,f_count,spox_gender,shot_scale_vlm_1a_01,shot_scale_vlm_1a_02,shot_scale_vlm_1a_03,shot_scale_vlm_1a_04_tuple,shot_scale_vlm_1a_05_filler,shot_scale_vlm_1a_06,shot_scale_vlm_1a_07,shot_scale_vlm_1a_08,shot_scale_vlm_1a_09_tuple,shot_scale_vlm_1a_10_filler,shot_scale_vlm_1b_01,shot_scale_vlm_1b_02,shot_scale_vlm_1b_03,shot_scale_vlm_1b_04_tuple,shot_scale_vlm_1b_05_filler,shot_scale_vlm_1b_06,shot_scale_vlm_1b_07,shot_scale_vlm_1b_08,shot_scale_vlm_1b_09_tuple,shot_scale_vlm_1b_10_filler,shot_scale_vlm_1c_01,shot_scale_vlm_1c_02,shot_scale_vlm_1c_03,shot_scale_vlm_1c_04_tuple,shot_scale_vlm_1c_05_filler,shot_scale_vlm_1c_06,shot_scale_vlm_1c_07,shot_scale_vlm_1c_08,shot_scale_vlm_1c_09_tuple,shot_scale_vlm_1c_10_filler,shot_scale_classifier_1,shot_scale_classifier_2,shot_scale_classifier_3,setting_vlm_2a_01,setting_vlm_2b_01,setting_vlm_2c_01,location_vlm_01,location_vlm_02,location_vlm_03,combat_presence_vlm_01,combat_presence_vlm_02,combat_presence_vlm_03
7357772207445134608.mp4_scene_11,7357772207445134608,3d0ad485936bf3a6518f8633d15848b8,419,0 days 00:00:13.967000,30.0,461,0 days 00:00:15.367000,30.0,11,34,2126,0 days 00:01:10.867000,"[(242, 386, 428, 201)]",1,['CPT Tammy Shur'],['F'],0,1,F,Close up,Close up,Close up,"('Medium close up', 'The subject's face and upper body are fully visible, with their head taking up most of the frame but not extending down to the shoulders.')",Close up,Medium shot,Medium shot,Medium shot,"('Full shot', 'The subject is fully visible from head to toe and occupies most of the frame, with the background less prominent than in wide shots.')",Close up,MCU,MCU,MCU,"('MCU', 'The subject is framed from chest up and takes up most of the frame, focusing on their upper body and face.')",MCU,CU,CU,CU,"('CU', 'The subject occupies most of the frame from head to shoulders, with no other significant objects or background details visible.')",CU,Close up,Medium close up,Close up,"('Medium close up', 'The subject's face and upper body are fully visible, with their head taking up most of the frame but not extending beyond it.')",Medium close up,Medium shot.,Medium shot,Medium shot,"('Medium close up', 'The subject occupies most of the frame from head to shoulders, with no other discernible subjects or background details visible.')","The shot scale of this still image is ""Medium shot"".",Medium shot,Medium shot,Medium shot,blue screen,blue screen studio,military base,Indoor,Indoor,Indoor,Non-combat,Non-combat,Non-combat
7357772207445134608.mp4_scene_12,7357772207445134608,3d0ad485936bf3a6518f8633d15848b8,461,0 days 00:00:15.367000,30.0,501,0 days 00:00:16.700000,30.0,12,34,2126,0 days 00:01:10.867000,"[(192, 390, 415, 167)]",1,['CPT Tammy Shur'],['F'],0,1,F,Close up,Close up,Medium close up,"('Medium full shot', 'The subject is framed from the knees up, capturing her upper body and face clearly against a dark background.')",Medium close up,Close up,Close up,Close up,"('Close up', 'The subject occupies most of the frame from head to shoulders, with no other significant objects or background details visible.')",Close up,MCU,MCU,MCU,"('MCU', 'The subject is framed from chest up and takes up most of the frame, focusing on their upper body and face.')",MCU,CU,CU,CU,"('CU', 'The subject occupies most of the frame from head to shoulders and there are no other discernible subjects or background details.')",CU,Medium close up,Medium close up,Medium close up,"('Medium close up', 'The subject is framed from the chest up and takes up most of the frame.')",Medium close up,Close up,Close up,Close up,"('Close up', 'The subject occupies most of the frame from head to shoulders and there are no other discernible subjects or background details.')","The shot scale of this still image is ""Close up"".",Medium close up,Medium close up,Medium close up,studio,dark blue screen,military base,Indoor,Indoor,Indoor,Non-combat,Non-combat,Non-combat
7357772207445134608.mp4_scene_13,7357772207445134608,3d0ad485936bf3a6518f8633d15848b8,501,0 days 00:00:16.700000,30.0,625,0 days 00:00:20.833000,30.0,13,34,2126,0 days 00:01:10.867000,[],0,[],[],0,0,no_spox,Empty,Empty,Wide shot,"('Wide shot', 'The entire map with Iran highlighted and labeled as ""from Iranian territory"" indicates this is a wide shot where the subject (Iran) is fully visible within its geographical context.')",Empty,Empty,Uncertain,Empty,"('Empty', 'The image appears to be a map with text and a circle highlighting Iran, but there are no discernible subjects or focus points within the frame itself.')",Empty,WS,WS,WS,"('WS', 'The shot shows a map with Iran circled and labeled ""from Iranian territory,"" indicating it's a wide shot as the entire country is visible within the frame.')",WS,Empty,Empty,Empty,"('Empty', 'The image does not contain any discernible subject or focus; it only shows a map with text and a circle highlighting Iran, making it an empty shot without a clear subject or background details.')",Empty,Uncertain,Uncertain,Uncertain,"('Wide shot', 'The entire map with Iran highlighted and labeled is visible, indicating it's a wide shot where the subject (the map) dominates the frame.')",Empty,Empty,Empty,Empty,"(Uncertain, 'Motivation') - The provided image appears to be a map with text and a red circle highlighting Iran. There are no discernible subjects or focus points within the frame, making it difficult to classify the shot scale accurately.",The shot scale of this still image is 'Empty'.,Empty,Empty,Empty,map of iran,map of iran,military base,Graphics,Graphics,Graphics,Non-combat,Non-combat,Non-combat
7357772207445134608.mp4_scene_14,7357772207445134608,3d0ad485936bf3a6518f8633d15848b8,625,0 days 00:00:20.833000,30.0,723,0 days 00:00:24.100000,30.0,14,34,2126,0 days 00:01:10.867000,"[(222, 386, 407, 201)]",1,['CPT Tammy Shur'],['F'],0,1,F,Close up,Close up,Close up,"('Medium close up', ""The subject's head and shoulders are fully visible, with their face prominently featured, indicating this shot scale."")",Medium close up,Close up,Close up,Close up,"('Close up', 'The subject occupies most of the frame from head to shoulders and there are no other discernible subjects or background details.')",Close up,MCU,MCU,MCU,"('MCU', 'The subject's face and upper body are clearly visible with some focus on their expression, indicating it is a medium close-up shot.')",MCU,CU,CU,CU,"('CU', 'The subject occupies most of the frame from head to shoulders and there are no other discernible subjects or background details.')",CU,Close up,Close up,Medium close up,"('Medium close up', 'The subject is framed from the chest up and takes up most of the frame.')",Medium close up,Close up,Close up,Close up,"('Close up', 'The subject takes up most of the frame from head to shoulders and there are no other discernible subjects or background details.')","The shot scale of this still image is a ""Close up"".",Medium shot,Medium shot,Medium shot,military interview,blue screen studio,military base,Indoor,Indoor,Indoor,Non-combat,Non-combat,Non-combat
7357772207445134608.mp4_scene_15,7357772207445134608,3d0ad485936bf3a6518f8633d15848b8,723,0 days 00:00:24.100000,30.0,818,0 days 00:00:27.267000,30.0,15,34,2126,0 days 00:01:10.867000,"[(201, 438, 468, 171)]",1,['CPT Tammy Shur'],['F'],0,1,F,Close up,Close up,Close up,"('Close up', 'The subject fills most of the frame and their face and upper body are prominently featured.')",Close up,Close up,Close up,Close up,"('Close up', 'The subject takes up most of the frame from head to shoulders and there are no other discernible subjects or background details.')",Close up,MCU,MCU,MCU,"('MCU', 'The subject's face and upper body are clearly visible with some detail on their uniform, indicating this shot focuses closely on them without showing much of the background.')",MCU,CU,CU,CU,"('CU', 'The subject occupies most of the frame from head to shoulders, with no other significant objects or background details visible.')",CU,Close up,Close up,Close up,"('Close up', 'The subject fills most of the frame and their head and shoulders are prominently featured.')",Close up,Close up,Close up,Close up,"('Close up', 'The subject takes up most of the frame from head to shoulders and there are no other discernible subjects or background details.')","The shot scale of this still image is ""Close up"".",Medium close up,Medium close up,Medium close up,blue screen,blue screen studio,military base,Indoor,Indoor,Indoor,Non-combat,Non-combat,Non-combat
7357772207445134608.mp4_scene_16,7357772207445134608,3d0ad485936bf3a6518f8633d15848b8,818,0 days 00:00:27.267000,30.0,891,0 days 00:00:29.700000,30.0,16,34,2126,0 days 00:01:10.867000,"[(222, 386, 407, 201)]",1,['CPT Tammy Shur'],['F'],0,1,F,Close up,Close up,Close up,"('Medium close up', 'The subject's face and upper body are fully visible, with their chest and shoulders taking up most of the frame.')",Close up,Close up,Close up,Close up,"('Close up', 'The subject occupies most of the frame from head to shoulders and there are no other discernible subjects or background details.')",Close up,MCU,MCU,MCU,"('MCU', 'The subject's face and upper body are fully visible with no background distractions; this aligns with the definition of Medium Close-Up.')",MCU,CU,CU,CU,"('CU', 'The subject occupies most of the frame from head to shoulders, with no other significant objects or background details visible.')",CU,Close up,Medium close up,Medium close up,"('Medium close up', 'The subject's face and upper body are fully visible, with their head taking up a significant portion of the frame.')",Medium close up,Close up,Close up,Close up,"('Close up', 'The subject occupies most of the frame from head to shoulders and is clearly visible against a plain background, indicating that the focus is on the individual rather than the environment.')","The shot scale of this still image is ""Close up"".",Full shot,Full shot,Full shot,blue screen,blue screen,military base,Indoor,Indoor,Indoor,Non-combat,Non-combat,Non-combat
7357772207445134608.mp4_scene_17,7357772207445134608,3d0ad485936bf3a6518f8633d15848b8,891,0 days 00:00:29.700000,30.0,970,0 days 00:00:32.333000,30.0,17,34,2126,0 days 00:01:10.867000,"[(231, 438, 498, 171)]",1,['CPT Tammy Shur'],['F'],0,1,F,Close up,Close up,Close up,"('Close up', 'The subject takes up most of the frame and focuses on their upper body, indicating this shot scale.')",Close up,Close up,Close up,Close up,"('Close up', 'The subject occupies most of the frame from head to shoulders and there are no other discernible subjects or background details.')",Close up,MCU,MCU,MCU,"('MCU', 'The subject is framed from chest up with clear focus on their upper body and face, indicating it's a medium close-up shot.')",MCU,CU,CU,CU,"('CU', 'The subject takes up most of the frame from head to shoulders, with no other significant objects or background details visible.')",CU,Close up,Close up,Close up,"('Close up', 'The subject fills most of the frame and their head and shoulders are prominently featured.')",Close up,Close up,Close up,Close up,"('Close up', 'The subject takes up most of the frame from head to shoulders and there are no other discernible subjects or background details.')","The shot scale of this still image is ""Close up"".",Medium close up,Medium close up,Medium close up,blue screen,blue screen,blue screen,Indoor,Indoor,Indoor,Non-combat,Non-combat,Non-combat
7357772207445134608.mp4_scene_18,7357772207445134608,3d0ad485936bf3a6518f8633d15848b8,970,0 days 00:00:32.333000,30.0,1090,0 days 00:00:36.333000,30.0,18,34,2126,0 days 00:01:10.867000,"[(217, 390, 440, 167)]",1,['CPT Tammy Shur'],['F'],0,1,F,Close up,Close up,Close up,"('Medium close up', 'The subject's face and upper body are fully visible, with focus on their expression and attire, indicating this shot scale.')",Close up,Close up,Close up,Close up,"('Close up', 'The subject occupies most of the frame from head to shoulders and there are no other discernible subjects or background details.')",Close up,MCU,MCU,MCU,"('MCU', 'The subject is framed from chest up and takes up most of the frame, focusing on their upper body and face.')",MCU,CU,CU,CU,"('CU', 'The subject occupies most of the frame from head to shoulders, with no other significant objects or background details visible.')",CU,Close up,Close up,Medium close up,"('Medium close up', 'The subject is framed from the chest up and takes up most of the frame, focusing on their upper body.')",Medium close up,Close up,Close up,Close up,"('Close up', 'The subject takes up most of the frame from head to shoulders, with no background details visible.')","The shot scale of this still image is ""Medium shot"".",Medium shot,Medium shot,Medium shot,military interview,blue screen,military base,Indoor,Indoor,Indoor,Non-combat,Non-combat,Non-combat
7357772207445134608.mp4_scene_19,7357772207445134608,3d0ad485936bf3a6518f8633d15848b8,1090,0 days 00:00:36.333000,30.0,1131,0 days 00:00:37.700000,30.0,19,34,2126,0 days 00:01:10.867000,[],0,[],[],0,0,no_spox,Uncertain,Uncertain,Uncertain,"('Empty', ""The frame shows only text and a symbol with no discernible subject or focus, indicating it's an empty shot."")",Empty,Medium close up,Medium shot,Medium close up,"('Uncertain', 'The image appears to be a still from a video with text overlay and a blurred object in the center. The lack of clear subject matter makes it difficult to determine the shot scale accurately. However, the blurred object could potentially be a medium close up or close up if more details were visible.)",Medium close up,Empty,Empty,Empty,"('Empty', 'The frame shows only text and a crosshair with no discernible subject or focus.')",Empty,Empty,MCU,MCU,"('Empty', 'Motivation: The image appears to be an overlay with text and graphics, lacking any discernible subject or focus within the frame. It is not a video still but rather a static graphic with no background details visible.)",Empty,Uncertain,Uncertain,Uncertain,"('Close up', 'The subject appears as text and a symbol, taking up most of the frame with no discernible background details.')",Empty,Medium close up,Medium close up,Medium close up,"(Uncertain, 'Motivation') - The image appears to be an empty frame with no discernible subject or focus, showing only the setting or environment. However, the presence of text and a crosshair suggests that there may be some subject matter in the background or on a different layer, making it difficult to classify with certainty.",The shot scale of this still image is 'Medium close up'.,Empty,Empty,Empty,cloudy sky,cloudy sky,military base,Graphics,Graphics,Graphics,Non-combat,Non-combat,Non-combat
7357772207445134608.mp4_scene_20,7357772207445134608,3d0ad485936bf3a6518f8633d15848b8,1131,0 days 00:00:37.700000,30.0,1166,0 days 00:00:38.867000,30.0,20,34,2126,0 days 00:01:10.867000,"[(222, 386, 407, 201)]",1,['CPT Tammy Shur'],['F'],0,1,F,Close up,Close up,Close up,"('Close up', 'The subject fills most of the frame and their face is clearly visible, indicating this shot scale.')",Close up,Close up,Close up,Close up,"('Close up', 'The subject occupies most of the frame from head to shoulders and there are no other discernible subjects or background details.')",Close up,MCU,MCU,MCU,"('MCU', 'The subject is framed from chest up and takes up most of the frame, focusing on their upper body and face.')",MCU,CU,CU,CU,"('CU', 'The subject occupies most of the frame from head to shoulders, with no other discernible subjects or background details visible.')",CU,Close up,Close up,Close up,"('Medium close up', 'The subject is framed from the chest up and takes up most of the frame, indicating a medium close-up shot.')",Medium close up,Close up,Close up,Close up,"('Medium close up', 'The subject takes up most of the frame from head to shoulders, with a clear focus on their face and upper body.')","The shot scale of this still image is ""Close up"".",Medium shot,Medium shot,Medium shot,military press conference,blue screen studio,military base,Indoor,Indoor,Indoor,Non-combat,Non-combat,Non-combat
