id,spox_gender_m,location_m,combat_presence_m,shot_scale_m,selfie_m
7289287958908144897.mp4_scene_7,M,Outdoor,Non-combat,Close up,Non-selfie
7289287958908144897.mp4_scene_8,M,Outdoor,Non-combat,Close up,Non-selfie
7289287958908144897.mp4_scene_9,M,Outdoor,Non-combat,Close up,Non-selfie
7289287958908144897.mp4_scene_10,M,Outdoor,Non-combat,Close up,Non-selfie
7289287958908144897.mp4_scene_11,no_spox,Outdoor,Non-combat,Medium full shot,Non-selfie
7289287958908144897.mp4_scene_12,M,Outdoor,Non-combat,Close up,Non-selfie
7289300995413249282.mp4_scene_1,F,Outdoor,Non-combat,Medium close up,Selfie
7289300995413249282.mp4_scene_2,no_spox,Outdoor,Non-combat,Empty,Non-selfie
7289300995413249282.mp4_scene_3,no_spox,Outdoor,Combat,Empty,Non-selfie
7289300995413249282.mp4_scene_4,no_spox,Outdoor,Combat,Empty,Non-selfie
7289300995413249282.mp4_scene_5,F,Outdoor,Combat,Medium close up,Selfie
7289300995413249282.mp4_scene_6,F,Outdoor,Combat,Medium close up,Selfie
7289300995413249282.mp4_scene_7,F,Outdoor,Combat,Medium close up,Selfie
7289300995413249282.mp4_scene_8,no_spox,Outdoor,Combat,Empty,Non-selfie
7289300995413249282.mp4_scene_9,F,Outdoor,Non-combat,Medium close up,Selfie
7289300995413249282.mp4_scene_10,no_spox,Graphics,Graphics,Empty,Non-selfie
7290500266414132481.mp4_scene_1,M,Indoor,Non-combat,Medium close up,Non-selfie
7290500266414132481.mp4_scene_2,M,Indoor,Non-combat,Medium shot,Non-selfie
7290500266414132481.mp4_scene_3,M,Indoor,Non-combat,Medium close up,Non-selfie
7290500266414132481.mp4_scene_4,M,Indoor,Non-combat,Medium shot,Non-selfie
7290500266414132481.mp4_scene_5,M,Indoor,Non-combat,Medium close up,Non-selfie
7290500266414132481.mp4_scene_6,no_spox,Outdoor,Non-combat,Empty,Non-selfie
7290500266414132481.mp4_scene_7,M,Indoor,Non-combat,Medium close up,Non-selfie
7290500266414132481.mp4_scene_8,M,Indoor,Non-combat,Medium shot,Non-selfie
7290500266414132481.mp4_scene_9,M,Indoor,Non-combat,Medium close up,Non-selfie
7290500266414132481.mp4_scene_10,M,Indoor,Non-combat,Medium shot,Non-selfie
7290500266414132481.mp4_scene_11,no_spox,Outdoor,Combat,Medium shot,Non-selfie
7290500266414132481.mp4_scene_12,M,Indoor,Non-combat,Medium shot,Non-selfie
7290500266414132481.mp4_scene_13,M,Indoor,Non-combat,Medium close up,Non-selfie
7290500266414132481.mp4_scene_14,no_spox,Outdoor,Combat,Full shot,Non-selfie
7290500266414132481.mp4_scene_15,M,Indoor,Non-combat,Medium shot,Non-selfie
7290500266414132481.mp4_scene_16,M,Indoor,Non-combat,Medium close up,Non-selfie
7290759066526207233.mp4_scene_1,F,Indoor,Non-combat,Medium shot,Non-selfie
7290776842250833153.mp4_scene_1,M,Indoor,Non-combat,Medium shot,Non-selfie
7290776842250833153.mp4_scene_2,no_spox,Outdoor,Non-combat,Empty,Non-selfie
7290776842250833153.mp4_scene_3,no_spox,Outdoor,Non-combat,Empty,Non-selfie
7290776842250833153.mp4_scene_4,no_spox,Outdoor,Non-combat,Empty,Non-selfie
7290776842250833153.mp4_scene_5,M,Indoor,Non-combat,Medium shot,Non-selfie
7290776842250833153.mp4_scene_6,M,Indoor,Non-combat,Medium close up,Non-selfie
7290776842250833153.mp4_scene_7,no_spox,Outdoor,Combat,Medium shot,Non-selfie
7290776842250833153.mp4_scene_8,no_spox,Outdoor,Combat,Wide shot,Non-selfie
7290776842250833153.mp4_scene_9,no_spox,Outdoor,Combat,Medium shot,Non-selfie
7290776842250833153.mp4_scene_10,no_spox,Outdoor,Combat,Wide shot,Non-selfie
7290776842250833153.mp4_scene_11,no_spox,Outdoor,Combat,Empty,Non-selfie
7290776842250833153.mp4_scene_12,M,Indoor,Non-combat,Medium shot,Non-selfie
7291324555233103106.mp4_scene_1,F,Outdoor,Non-combat,Medium full shot,Non-selfie
7292023312455077121.mp4_scene_1,M,Outdoor,Non-combat,Medium shot,Non-selfie
7292023312455077121.mp4_scene_2,no_spox,Outdoor,Combat,Full shot,Non-selfie
7292023312455077121.mp4_scene_3,no_spox,Outdoor,Combat,Empty,Non-selfie
7292023312455077121.mp4_scene_4,no_spox,Outdoor,Combat,Empty,Non-selfie
7292023312455077121.mp4_scene_5,no_spox,Outdoor,Combat,Full shot,Non-selfie
7292023312455077121.mp4_scene_6,no_spox,Outdoor,Combat,Full shot,Non-selfie
7292023312455077121.mp4_scene_7,M,Outdoor,Non-combat,Medium shot,Non-selfie
7292023312455077121.mp4_scene_8,M,Outdoor,Non-combat,Medium shot,Non-selfie
7292023312455077121.mp4_scene_9,M,Outdoor,Non-combat,Medium shot,Non-selfie
7292023312455077121.mp4_scene_10,M,Outdoor,Non-combat,Medium shot,Non-selfie
7292023312455077121.mp4_scene_11,no_spox,Outdoor,Non-combat,Full shot,Non-selfie
7292023312455077121.mp4_scene_12,no_spox,Outdoor,Non-combat,Wide shot,Non-selfie
7292023312455077121.mp4_scene_13,no_spox,Outdoor,Non-combat,Full shot,Non-selfie
7292023312455077121.mp4_scene_14,no_spox,Indoor,Non-combat,Full shot,Non-selfie
7292023312455077121.mp4_scene_15,no_spox,Outdoor,Non-combat,Medium full shot,Non-selfie
7292023312455077121.mp4_scene_16,no_spox,Outdoor,Non-combat,Wide shot,Non-selfie
7292023312455077121.mp4_scene_17,M,Outdoor,Non-combat,Medium shot,Non-selfie
7292023312455077121.mp4_scene_18,no_spox,Outdoor,Combat,Wide shot,Non-selfie
7292023312455077121.mp4_scene_19,no_spox,Outdoor,Non-combat,Medium full shot,Non-selfie
7292023312455077121.mp4_scene_20,M,Outdoor,Non-combat,Medium shot,Non-selfie
7292397425065577729.mp4_scene_1,M,Indoor,Non-combat,Medium shot,Non-selfie
7292702865406119170.mp4_scene_1,M,Indoor,Non-combat,Medium shot,Non-selfie
7293175145424751873.mp4_scene_1,F,Indoor,Non-combat,Medium shot,Non-selfie
7293266381401754881.mp4_scene_1,M,Outdoor,Combat,Medium close up,Non-selfie
7293266381401754881.mp4_scene_2,M,Outdoor,Combat,Medium close up,Non-selfie
7293266381401754881.mp4_scene_3,M,Outdoor,Non-combat,Medium close up,Non-selfie
7293266381401754881.mp4_scene_4,M,Outdoor,Non-combat,Medium close up,Non-selfie
7293266381401754881.mp4_scene_5,M,Outdoor,Combat,Medium close up,Non-selfie
7293266381401754881.mp4_scene_6,M,Outdoor,Non-combat,Medium close up,Non-selfie
7293266381401754881.mp4_scene_7,M,Outdoor,Non-combat,Medium close up,Non-selfie
7293266381401754881.mp4_scene_8,M,Outdoor,Non-combat,Medium close up,Non-selfie
7293266381401754881.mp4_scene_9,M,Outdoor,Non-combat,Medium close up,Non-selfie
7293266381401754881.mp4_scene_10,M,Outdoor,Non-combat,Medium close up,Non-selfie
7293266381401754881.mp4_scene_11,M,Outdoor,Combat,Medium close up,Non-selfie
7293266381401754881.mp4_scene_12,M,Outdoor,Non-combat,Medium close up,Non-selfie
7293266381401754881.mp4_scene_13,M,Outdoor,Combat,Medium close up,Non-selfie
7293266381401754881.mp4_scene_14,M,Outdoor,Combat,Medium close up,Non-selfie
7293266381401754881.mp4_scene_15,M,Outdoor,Combat,Medium close up,Non-selfie
7293266381401754881.mp4_scene_16,M,Outdoor,Combat,Full shot,Non-selfie
7293266381401754881.mp4_scene_17,no_spox,Graphics,Graphics,Empty,Non-selfie
7293342488759225602.mp4_scene_1,M,Outdoor,Non-combat,Medium close up,Non-selfie
7293342488759225602.mp4_scene_2,no_spox,Outdoor,Non-combat,Wide shot,Non-selfie
7293342488759225602.mp4_scene_3,M,Outdoor,Non-combat,Medium close up,Non-selfie
7293342488759225602.mp4_scene_4,no_spox,Outdoor,Non-combat,Full shot,Non-selfie
7293789582116556034.mp4_scene_1,M,Indoor,Non-combat,Medium shot,Non-selfie
7293789582116556034.mp4_scene_2,no_spox,Indoor,Non-combat,Empty,Non-selfie
7293789582116556034.mp4_scene_3,M,Indoor,Non-combat,Close up,Non-selfie
7293789582116556034.mp4_scene_4,M,Indoor,Non-combat,Full shot,Non-selfie
7293789582116556034.mp4_scene_5,no_spox,Indoor,Non-combat,Medium close up,Non-selfie
7293789582116556034.mp4_scene_6,M,Indoor,Non-combat,Full shot,Non-selfie
7293789582116556034.mp4_scene_7,M,Indoor,Non-combat,Close up,Non-selfie
7293789582116556034.mp4_scene_8,no_spox,Indoor,Non-combat,Medium close up,Non-selfie
7293789582116556034.mp4_scene_9,M,Indoor,Non-combat,Close up,Non-selfie
7293863025751133442.mp4_scene_1,M,Outdoor,Combat,Medium shot,Non-selfie
7293863025751133442.mp4_scene_2,M,Outdoor,Combat,Medium shot,Non-selfie
7293863025751133442.mp4_scene_3,M,Outdoor,Combat,Medium shot,Non-selfie
7293863025751133442.mp4_scene_4,M,Outdoor,Combat,Medium shot,Non-selfie
7293863025751133442.mp4_scene_5,F,Outdoor,Combat,Medium shot,Non-selfie
7293863025751133442.mp4_scene_6,M,Outdoor,Combat,Medium shot,Non-selfie
7293863025751133442.mp4_scene_7,M,Outdoor,Combat,Medium shot,Non-selfie
7293863025751133442.mp4_scene_8,M,Outdoor,Combat,Medium shot,Non-selfie
7293863025751133442.mp4_scene_9,M,Outdoor,Combat,Medium shot,Non-selfie
7293863025751133442.mp4_scene_10,M,Outdoor,Combat,Medium shot,Non-selfie
7293863025751133442.mp4_scene_11,M,Outdoor,Combat,Medium shot,Non-selfie
7293863025751133442.mp4_scene_12,M,Outdoor,Combat,Medium shot,Non-selfie
7294994059897097473.mp4_scene_1,M,Indoor,Non-combat,Medium shot,Non-selfie
7294994059897097473.mp4_scene_2,no_spox,Graphics,Graphics,Empty,Non-selfie
7295172273592339713.mp4_scene_1,M,Indoor,Non-combat,Medium shot,Non-selfie
7295172273592339713.mp4_scene_2,no_spox,Outdoor,Combat,Empty,Non-selfie
7295172273592339713.mp4_scene_3,no_spox,Outdoor,Combat,Empty,Non-selfie
7295172273592339713.mp4_scene_4,no_spox,Outdoor,Combat,Empty,Non-selfie
7295172273592339713.mp4_scene_5,M,Indoor,Non-combat,Medium shot,Non-selfie
7295172273592339713.mp4_scene_6,no_spox,Outdoor,Combat,Wide shot,Non-selfie
7295172273592339713.mp4_scene_7,M,Indoor,Non-combat,Medium shot,Non-selfie
7295172273592339713.mp4_scene_8,no_spox,Outdoor,Combat,Empty,Non-selfie
7295172273592339713.mp4_scene_9,no_spox,Outdoor,Combat,Full shot,Non-selfie
7295172273592339713.mp4_scene_10,M,Indoor,Non-combat,Medium shot,Non-selfie
7295172273592339713.mp4_scene_11,M,Indoor,Non-combat,Medium shot,Non-selfie
7295172273592339713.mp4_scene_12,no_spox,Graphics,Graphics,Empty,Non-selfie
7295172273592339713.mp4_scene_13,M,Indoor,Non-combat,Medium shot,Non-selfie
7295172273592339713.mp4_scene_14,no_spox,Graphics,Graphics,Empty,Non-selfie
7295172273592339713.mp4_scene_15,M,Indoor,Non-combat,Medium close up,Non-selfie
7295172273592339713.mp4_scene_16,M,Indoor,Non-combat,Medium shot,Non-selfie
7295172273592339713.mp4_scene_17,no_spox,Graphics,Graphics,Empty,Non-selfie
7295723846143839489.mp4_scene_1,M,Indoor,Non-combat,Medium shot,Non-selfie
7295793486308101378.mp4_scene_1,F,Outdoor,Non-combat,Medium full shot,Non-selfie
7295793486308101378.mp4_scene_2,no_spox,Outdoor,Combat,Empty,Non-selfie
7295793486308101378.mp4_scene_3,F,Outdoor,Non-combat,Medium full shot,Non-selfie
7295793486308101378.mp4_scene_4,no_spox,Outdoor,Combat,Empty,Non-selfie
7295793486308101378.mp4_scene_5,no_spox,Outdoor,Combat,Empty,Non-selfie
7297379615079714050.mp4_scene_1,M,Indoor,Non-combat,Medium shot,Non-selfie
7297379615079714050.mp4_scene_2,no_spox,Outdoor,Combat,Empty,Non-selfie
7297379615079714050.mp4_scene_3,no_spox,Outdoor,Combat,Empty,Non-selfie
7297379615079714050.mp4_scene_4,no_spox,Outdoor,Combat,Empty,Non-selfie
7297379615079714050.mp4_scene_5,no_spox,Outdoor,Combat,Full shot,Non-selfie
7297379615079714050.mp4_scene_6,M,Indoor,Non-combat,Medium shot,Non-selfie
7297379615079714050.mp4_scene_7,no_spox,Outdoor,Combat,Wide shot,Non-selfie
7297379615079714050.mp4_scene_8,no_spox,Outdoor,Combat,Wide shot,Non-selfie
7297379615079714050.mp4_scene_9,M,Indoor,Non-combat,Medium shot,Non-selfie
7297379615079714050.mp4_scene_10,no_spox,Outdoor,Combat,Medium full shot,Non-selfie
7297379615079714050.mp4_scene_11,M,Indoor,Non-combat,Medium shot,Non-selfie
7297379615079714050.mp4_scene_12,no_spox,Outdoor,Combat,Wide shot,Non-selfie
7297447656551451905.mp4_scene_1,M,Indoor,Non-combat,Medium close up,Non-selfie
7297610637457231105.mp4_scene_1,F,Indoor,Non-combat,Medium close up,Non-selfie
7297610637457231105.mp4_scene_2,no_spox,Indoor,Non-combat,Medium shot,Non-selfie
7297610637457231105.mp4_scene_3,F,Indoor,Non-combat,Medium shot,Non-selfie
7297610637457231105.mp4_scene_4,F,Indoor,Non-combat,Medium close up,Non-selfie
7297610637457231105.mp4_scene_5,no_spox,Graphics,Graphics,Empty,Non-selfie
7298132249428364545.mp4_scene_1,M,Indoor,Non-combat,Medium shot,Non-selfie
7298132249428364545.mp4_scene_2,M,Indoor,Non-combat,Medium shot,Non-selfie
7298132249428364545.mp4_scene_3,M,Indoor,Non-combat,Medium shot,Non-selfie
7298132249428364545.mp4_scene_4,M,Indoor,Non-combat,Medium shot,Non-selfie
7298132249428364545.mp4_scene_5,M,Indoor,Non-combat,Medium shot,Non-selfie
7298951502498925826.mp4_scene_1,M,Indoor,Non-combat,Medium full shot,Non-selfie
7298951502498925826.mp4_scene_2,M,Indoor,Non-combat,Medium full shot,Non-selfie
7298951502498925826.mp4_scene_3,no_spox,Outdoor,Non-combat,Medium full shot,Non-selfie
7298951502498925826.mp4_scene_4,no_spox,Outdoor,Combat,Wide shot,Non-selfie
7298951502498925826.mp4_scene_5,no_spox,Outdoor,Non-combat,Close up,Non-selfie
7298951502498925826.mp4_scene_6,no_spox,Outdoor,Combat,Medium full shot,Non-selfie
7298951502498925826.mp4_scene_7,no_spox,Indoor,Combat,Medium shot,Non-selfie
7298951502498925826.mp4_scene_8,no_spox,Outdoor,Combat,Wide shot,Non-selfie
7298951502498925826.mp4_scene_9,no_spox,Outdoor,Combat,Wide shot,Non-selfie
7298951502498925826.mp4_scene_10,no_spox,Outdoor,Combat,Full shot,Non-selfie
7298951502498925826.mp4_scene_11,no_spox,Outdoor,Combat,Close up,Non-selfie
7298951502498925826.mp4_scene_12,no_spox,Outdoor,Combat,Wide shot,Non-selfie
7298951502498925826.mp4_scene_13,no_spox,Outdoor,Combat,Medium full shot,Non-selfie
7298951502498925826.mp4_scene_14,no_spox,Outdoor,Combat,Medium full shot,Non-selfie
7298951502498925826.mp4_scene_15,no_spox,Outdoor,Combat,Wide shot,Non-selfie
7298951502498925826.mp4_scene_16,no_spox,Outdoor,Non-combat,Wide shot,Non-selfie
7298951502498925826.mp4_scene_17,no_spox,Outdoor,Combat,Medium shot,Non-selfie
7298951502498925826.mp4_scene_18,no_spox,Outdoor,Combat,Wide shot,Non-selfie
7299238025198898434.mp4_scene_1,F,Outdoor,Non-combat,Medium shot,Non-selfie
7299238025198898434.mp4_scene_2,F,Outdoor,Non-combat,Medium shot,Non-selfie
7299238025198898434.mp4_scene_3,F,Outdoor,Non-combat,Medium shot,Non-selfie
7299238025198898434.mp4_scene_4,no_spox,Outdoor,Non-combat,Full shot,Non-selfie
7299238025198898434.mp4_scene_5,F,Outdoor,Non-combat,Medium shot,Non-selfie
7299238025198898434.mp4_scene_6,no_spox,Outdoor,Combat,Full shot,Non-selfie
7299238025198898434.mp4_scene_7,no_spox,Outdoor,Combat,Wide shot,Non-selfie
7299238025198898434.mp4_scene_8,no_spox,Outdoor,Combat,Medium full shot,Non-selfie
7299238025198898434.mp4_scene_9,F,Outdoor,Non-combat,Medium shot,Non-selfie
7299238025198898434.mp4_scene_10,no_spox,Outdoor,Non-combat,Medium shot,Non-selfie
7299238025198898434.mp4_scene_11,no_spox,Outdoor,Non-combat,Wide shot,Non-selfie
7299238025198898434.mp4_scene_12,no_spox,Indoor,Non-combat,Wide shot,Non-selfie
7299238025198898434.mp4_scene_13,no_spox,Outdoor,Combat,Full shot,Non-selfie
7299238025198898434.mp4_scene_14,no_spox,Outdoor,Combat,Close up,Non-selfie
7299238025198898434.mp4_scene_15,no_spox,Outdoor,Combat,Empty,Non-selfie
7299238025198898434.mp4_scene_16,F,Outdoor,Non-combat,Medium shot,Non-selfie
7299238025198898434.mp4_scene_17,F,Outdoor,Non-combat,Medium shot,Non-selfie
7299238025198898434.mp4_scene_18,no_spox,Outdoor,Combat,Full shot,Non-selfie
7299238025198898434.mp4_scene_19,no_spox,Outdoor,Combat,Wide shot,Non-selfie
7299238025198898434.mp4_scene_20,no_spox,Indoor,Combat,Empty,Non-selfie
7299238025198898434.mp4_scene_21,F,Outdoor,Non-combat,Medium shot,Non-selfie
7299238025198898434.mp4_scene_22,no_spox,Indoor,Combat,Medium shot,Non-selfie
7299238025198898434.mp4_scene_23,F,Outdoor,Non-combat,Medium shot,Non-selfie
7299238025198898434.mp4_scene_24,no_spox,Graphics,Graphics,Empty,Non-selfie
7299238025198898434.mp4_scene_25,no_spox,Graphics,Graphics,Empty,Non-selfie
7299238025198898434.mp4_scene_26,no_spox,Outdoor,Combat,Full shot,Non-selfie
7299238025198898434.mp4_scene_27,no_spox,Outdoor,Non-combat,Full shot,Non-selfie
7299238025198898434.mp4_scene_28,no_spox,Outdoor,Non-combat,Medium full shot,Non-selfie
7299238025198898434.mp4_scene_29,F,Outdoor,Non-combat,Medium shot,Non-selfie
7299238025198898434.mp4_scene_30,no_spox,Outdoor,Combat,Medium full shot,Non-selfie
7299238025198898434.mp4_scene_31,no_spox,Outdoor,Non-combat,Wide shot,Non-selfie
7299238025198898434.mp4_scene_32,F,Outdoor,Non-combat,Medium shot,Non-selfie
7299238025198898434.mp4_scene_33,F,Outdoor,Non-combat,Medium shot,Non-selfie
7299238025198898434.mp4_scene_34,no_spox,Outdoor,Combat,Medium full shot,Non-selfie
7299238025198898434.mp4_scene_35,F,Outdoor,Non-combat,Medium shot,Non-selfie
7299238025198898434.mp4_scene_36,no_spox,Indoor,Combat,Medium close up,Non-selfie
7299238025198898434.mp4_scene_37,no_spox,Outdoor,Combat,Medium close up,Non-selfie
7299238025198898434.mp4_scene_38,no_spox,Outdoor,Combat,Wide shot,Non-selfie
7299238025198898434.mp4_scene_39,no_spox,Outdoor,Non-combat,Wide shot,Non-selfie
7299238025198898434.mp4_scene_40,F,Outdoor,Non-combat,Medium shot,Non-selfie
7299238025198898434.mp4_scene_41,F,Outdoor,Non-combat,Medium shot,Non-selfie
7299238025198898434.mp4_scene_42,F,Outdoor,Non-combat,Medium shot,Non-selfie
7299238025198898434.mp4_scene_43,no_spox,Outdoor,Combat,Full shot,Non-selfie
7299238025198898434.mp4_scene_44,no_spox,Indoor,Non-combat,Medium shot,Non-selfie
7299238025198898434.mp4_scene_45,no_spox,Indoor,Non-combat,Full shot,Non-selfie
7299238025198898434.mp4_scene_46,no_spox,Indoor,Non-combat,Medium shot,Non-selfie
7299238025198898434.mp4_scene_47,F,Outdoor,Non-combat,Medium shot,Non-selfie
7299238025198898434.mp4_scene_48,F,Outdoor,Non-combat,Medium shot,Non-selfie
7299438479254015234.mp4_scene_1,F,Outdoor,Non-combat,Medium shot,Non-selfie
7300023022516178177.mp4_scene_1,F,Outdoor,Non-combat,Medium shot,Non-selfie
7300023022516178177.mp4_scene_2,no_spox,Graphics,Graphics,Empty,Non-selfie
7300238274939964673.mp4_scene_1,M,Outdoor,Non-combat,Medium full shot,Non-selfie
7300310605477498114.mp4_scene_1,M,Indoor,Non-combat,Medium shot,Non-selfie
7300966749761998082.mp4_scene_1,M,Outdoor,Non-combat,Medium close up,Non-selfie
7300966749761998082.mp4_scene_2,no_spox,Outdoor,Combat,Empty,Non-selfie
7300966749761998082.mp4_scene_3,no_spox,Graphics,Graphics,Empty,Non-selfie
7300966749761998082.mp4_scene_4,no_spox,Graphics,Graphics,Empty,Non-selfie
7300966749761998082.mp4_scene_5,M,Outdoor,Non-combat,Medium close up,Non-selfie
7300966749761998082.mp4_scene_6,no_spox,Graphics,Graphics,Empty,Non-selfie
7300966749761998082.mp4_scene_7,no_spox,Graphics,Graphics,Empty,Non-selfie
7300966749761998082.mp4_scene_8,no_spox,Graphics,Graphics,Empty,Non-selfie
7300966749761998082.mp4_scene_9,M,Outdoor,Non-combat,Medium close up,Non-selfie
7300966749761998082.mp4_scene_10,no_spox,Indoor,Combat,Medium shot,Non-selfie
7300966749761998082.mp4_scene_11,M,Outdoor,Non-combat,Medium close up,Non-selfie
7300966749761998082.mp4_scene_12,no_spox,Indoor,Non-combat,Empty,Non-selfie
7300966749761998082.mp4_scene_13,M,Outdoor,Non-combat,Medium close up,Non-selfie
7300966749761998082.mp4_scene_14,no_spox,Outdoor,Combat,Empty,Non-selfie
7300966749761998082.mp4_scene_15,no_spox,Outdoor,Combat,Wide shot,Non-selfie
7300966749761998082.mp4_scene_16,M,Outdoor,Non-combat,Medium close up,Non-selfie
7300966749761998082.mp4_scene_17,no_spox,Graphics,Graphics,Empty,Non-selfie
7301002769069001986.mp4_scene_1,F,Outdoor,Combat,Medium close up,Selfie
7301501906440981761.mp4_scene_1,M,Indoor,Non-combat,Medium shot,Non-selfie
7301501906440981761.mp4_scene_2,M,Indoor,Non-combat,Medium close up,Non-selfie
7301501906440981761.mp4_scene_3,M,Indoor,Non-combat,Medium shot,Non-selfie
7301501906440981761.mp4_scene_4,M,Indoor,Non-combat,Medium close up,Non-selfie
7301501906440981761.mp4_scene_5,M,Indoor,Non-combat,Medium shot,Non-selfie
7301501906440981761.mp4_scene_6,M,Indoor,Non-combat,Medium close up,Non-selfie
7301501906440981761.mp4_scene_7,M,Indoor,Non-combat,Medium shot,Non-selfie
7301501906440981761.mp4_scene_8,no_spox,Indoor,Non-combat,Medium close up,Non-selfie
7301501906440981761.mp4_scene_9,M,Indoor,Non-combat,Medium shot,Non-selfie
7301501906440981761.mp4_scene_10,M,Indoor,Non-combat,Close up,Non-selfie
7301501906440981761.mp4_scene_11,M,Indoor,Non-combat,Medium shot,Non-selfie
7301501906440981761.mp4_scene_12,M,Indoor,Non-combat,Close up,Non-selfie
7301501906440981761.mp4_scene_13,no_spox,Outdoor,Combat,Empty,Non-selfie
7301501906440981761.mp4_scene_14,no_spox,Indoor,Combat,Empty,Non-selfie
7301501906440981761.mp4_scene_15,no_spox,Indoor,Combat,Empty,Non-selfie
7301501906440981761.mp4_scene_16,no_spox,Graphics,Graphics,Empty,Non-selfie
7301501906440981761.mp4_scene_17,M,Indoor,Combat,Full shot,Non-selfie
7301501906440981761.mp4_scene_18,M,Indoor,Non-combat,Medium shot,Non-selfie
7301501906440981761.mp4_scene_19,no_spox,Outdoor,Combat,Empty,Non-selfie
7301501906440981761.mp4_scene_20,M,Indoor,Non-combat,Medium shot,Non-selfie
7301786158953024770.mp4_scene_1,M,Indoor,Non-combat,Medium shot,Non-selfie
7302786045517630721.mp4_scene_1,M,Outdoor,Non-combat,Medium shot,Non-selfie
7302786045517630721.mp4_scene_2,no_spox,Outdoor,Non-combat,Medium full shot,Non-selfie
